SYMBOL,ENSEMBL,ENSEMBLPROT,ENSEMBLTRANS,ENTREZID,IPI,UNIGENE,UNIPROT
PXT1,ENSG00000179165,,,222659,,Hs.520097,Q8NFP0
SIVA1,ENSG00000184990,,,10572,,Hs.112058,O15304
IL4R,ENSG00000077238,,,3566,IPI01011246,Hs.513457,P24394
NGLY1,ENSG00000151092,,,55768,,Hs.368960,Q96IV0
IGHJ2,,,,28481,,,
TMEM78,,,,677790,,Hs.638407,
RAB11FIP2,ENSG00000107560,,,22841,,Hs.173656,Q7L804
CTCF,ENSG00000102974,,,10664,,Hs.368367,P49711
unassigned,,,,,,,
FAM206A,ENSG00000119328,,,54942,,Hs.29276,Q9NX38
RBM33,ENSG00000184863,,,155435,,Hs.591815,Q96EV2
STOX2,ENSG00000173320,,,56977,,Hs.21958,Q9P2F5
MIOS,ENSG00000164654,,,54468,IPI00301987,Hs.520215,A0A024RA24
TRAJ61,,,,28694,,,
SPINT3,ENSG00000101446,ENSP00000217428,ENST00000217428,10816,,Hs.370724,P49223
TRAJ44,,,,28711,,,
