FLYBASE,ENSEMBL,ENSEMBLPROT,ENSEMBLTRANS,ENTREZID,SYMBOL,UNIGENE,UNIPROT
FBgn0028990,FBgn0028990,FBpp0078950,FBtr0079321,45815,Spn27A,Dm.29835,Q9V3N1
FBgn0033369,FBgn0033369,FBpp0308395,FBtr0339286,35912,CG8197,Dm.16246,A1Z7N0
FBgn0033774,FBgn0033774,FBpp0086967,FBtr0087854,36410,CG12374,Dm.588,Q7JYV3
FBgn0034308,FBgn0034308,FBpp0311543,FBtr0345416,37076,CG10915,Dm.12105,A0A0B4LFS3
FBgn0032518,FBgn0032518,FBpp0080102,FBtr0080524,34754,RpL24,Dm.424,Q9VJY6
CG43788,,,,,,,
FBgn0051091,FBgn0051091,FBpp0310536,FBtr0344119,318591,CG31091,Dm.26550,Q8IMS3
FBgn0037601,FBgn0037601,FBpp0310719,FBtr0344337,41019,Cyp313b1,Dm.6172,A0A0B4LGV2
FBgn0037213,FBgn0037213,FBpp0078602,FBtr0078962,40522,CG12581,Dm.31228,Q9VMY3
FBgn0261997,FBgn0261997,FBpp0292834,FBtr0303827,10178812,CG42815,Dm.38908,M9MRX3
FBgn0036105,FBgn0036105,FBpp0075998,FBtr0076269,39219,Blos4,Dm.6105,M9PET7
FBgn0020521,FBgn0020521,FBpp0072219,FBtr0072312,37929,pio,Dm.4060,Q8IRK0
FBgn0267904,FBgn0267904,FBpp0312570,FBtr0347429,26067070,CG46192,,A0A0S0X2Z1
FBgn0025827,FBgn0025827,FBpp0086192,FBtr0087043,46813,CG6421,,A1ZAL1
FBgn0000356,FBgn0000356,FBpp0076301,FBtr0076574,39001,Cp16,Dm.27089,A0A1B2AKQ3
FBgn0053796,FBgn0053796,FBpp0091046,FBtr0091800,3771914,CG33796,Dm.28957,Q4ABJ5
FBgn0002936,FBgn0002936,FBpp0077688,FBtr0078023,33271,ninaA,Dm.19760,P15425
FBgn0262786,FBgn0262786,FBpp0297064,FBtr0305896,12798159,CG43167,,M9ND71
FBgn0031282,FBgn0031282,FBpp0305188,FBtr0332972,33256,Pex12,Dm.23832,M9PBP1
FBgn0035207,FBgn0035207,FBpp0072564,FBtr0072671,38151,Herc4,Dm.12435,E8NHA2
FBgn0035063,FBgn0035063,FBpp0072281,FBtr0072374,37964,CG3594,Dm.30940,Q9W108
FBgn0031327,FBgn0031327,FBpp0077586,FBtr0077920,33313,CG5397,Dm.3937,Q9VPZ5
FBgn0031608,FBgn0031608,FBpp0311696,FBtr0345632,33655,CG15435,Dm.10801,Q9VR03
